#,Roboarm,2D,scan,with,the,following,settings:,,,,,
#,scan_size=0.3,,,,,,,,,,,
#,scan_step=0.05,,,,,,,,,,,
#,t=1.0,,,,,,,,,,,
#,nudge=0.05,,,,,,,,,,,
#,go_home=True,,,,,,,,,,,
#,get_data_home=False,,,,,,,,,,,
telapsed,xreal,yreal,zreal,x,y,z,col,row,power,err_power,power_home,err_power_home
1,-0.000330035118508,-0.100453974334402,0.139598571832802,-5.55E-17,-0.1,0,9,2,6.66063E-09,3.24383E-12,0,0
1,0.04972702547156,-0.10045306180185,0.139521713234665,0.05,-0.1,0,10,2,5.48438E-09,1.97024E-12,0,0
1,0.099805537293693,-0.100581444179069,0.139418009814786,0.1,-0.1,0,11,2,4.07438E-09,1.24020E-12,0,0
1,0.149684019898639,-0.100636316215034,0.139374999894844,0.15,-0.1,0,12,2,2.59000E-09,0.00000E+00,0,0
1,0.199689654489051,-0.100702713222377,0.139168760762981,0.2,-0.1,0,0,3,1.60063E-09,6.05154E-13,0,0
1,0.249712039636427,-0.100730433215234,0.139075252724809,0.25,-0.1,0,1,3,8.95625E-10,1.52294E-12,0,0
1,-0.300323146092891,-0.050014780154259,0.140135926799272,-0.3,-0.05,0,2,3,9.06000E-10,1.26491E-12,0,0
1,-0.250284385838879,-0.050071846361094,0.140031898765736,-0.25,-0.05,0,3,3,1.58625E-09,2.14239E-12,0,0
1,-0.200256116187029,-0.050047129368422,0.139997503512,-0.2,-0.05,0,4,3,2.95250E-09,1.08253E-12,0,0
1,-0.150189685562905,-0.050125252043731,0.139912850414751,-0.15,-0.05,0,5,3,5.19750E-09,2.07289E-12,0,0
1,-0.100229865234971,-0.050292011124505,0.139702099987271,-0.1,-0.05,0,6,3,7.14750E-09,3.80173E-12,0,0
1,-0.050215617604664,-0.050337289993856,0.139671182282009,-0.05,-0.05,0,7,3,8.88313E-09,5.91071E-12,0,0
1,-0.000223311548625,-0.050446108116088,0.139576186302883,-5.55E-17,-0.05,0,8,3,9.13438E-09,6.49331E-12,0,0
1,0.04982346234356,-0.050496746266832,0.139447011702751,0.05,-0.05,0,9,3,7.52250E-09,7.42146E-12,0,0
1,0.099800547739839,-0.050525325158963,0.139436912321975,0.1,-0.05,0,10,3,5.44813E-09,2.01919E-12,0,0
1,0.149765119324995,-0.05066510420378,0.139306483209927,0.15,-0.05,0,11,3,3.61813E-09,9.75781E-13,0,0
1,0.199771422391753,-0.050830314834714,0.139179137540673,0.2,-0.05,0,12,3,2.05063E-09,6.05154E-13,0,0
1,0.249745809709389,-0.050617802394172,0.139098965294854,0.25,-0.05,0,0,4,1.08000E-09,0.00000E+00,0,0
1,0.29975994141802,-0.050733761303015,0.13897052104643,0.3,-0.05,0,1,4,4.71875E-10,9.75781E-13,0,0
1,-0.300251200166602,5.67E-05,0.140304032226831,-0.3,-5.55E-17,0,2,4,9.11250E-10,8.26797E-13,0,0
1,-0.250153519398682,5.68E-06,0.1401035952305,-0.25,-5.55E-17,0,3,4,1.97000E-09,0.00000E+00,0,0
1,-0.200182748941727,5.92E-06,0.140067841554875,-0.2,-5.55E-17,0,4,4,3.43188E-09,9.75781E-13,0,0
1,-0.150165937385646,-0.000148375926773,0.139886832720513,-0.15,-5.55E-17,0,5,4,5.60375E-09,1.49870E-12,0,0
1,-0.100173784906919,-0.000247303617361,0.139834545152727,-0.1,-5.55E-17,0,6,4,8.26938E-09,6.02526E-12,0,0
