# Robotarm 2D scan with the following settings:
# scan_size=0.3, 
# scan_step=0.02, 
# n_meas=10.0, 
# nudge=0.0 
n_meas,xreal,yreal,zreal,x,y,z,col,row,power,err_power
10.0,-0.20003245362485506,-0.1601651354332706,0.13708941621841508,-0.1999999999999999,-0.15999999999999986,0.0,30.0,3.0,1.0000000000000003e-09,6.539436930002088e-26
10.0,-0.17981715837832032,-0.16012053693852374,0.1371532923751943,-0.17999999999999988,-0.15999999999999986,0.0,0.0,4.0,1.0740000000000002e-09,1.5491933384829613e-12
10.0,-0.1601350851666249,-0.16020284280034475,0.1373055669634652,-0.15999999999999986,-0.15999999999999986,0.0,1.0,4.0,1.1199999999999999e-09,6.539436930002088e-26
10.0,-0.13996412588230753,-0.16005514028449375,0.1374012199513715,-0.13999999999999985,-0.15999999999999986,0.0,2.0,4.0,1.16e-09,0.0
10.0,-0.12001164412110302,-0.1601685851931297,0.1375007471046853,-0.11999999999999983,-0.15999999999999986,0.0,3.0,4.0,1.16e-09,0.0
10.0,-0.100022638541767,-0.1601433695406892,0.13758989103409935,-0.09999999999999981,-0.15999999999999986,0.0,4.0,4.0,1.2180000000000001e-09,1.2649110640673472e-12
10.0,-0.07991789494882463,-0.16013120624606292,0.13768466830839543,-0.0799999999999998,-0.15999999999999986,0.0,5.0,4.0,1.2180000000000001e-09,1.2649110640673472e-12
10.0,-0.05999015651463137,-0.1601391861385167,0.1378088509429906,-0.059999999999999776,-0.15999999999999986,0.0,6.0,4.0,1.22e-09,0.0
10.0,-0.03998675150114976,-0.1601473152109621,0.13794020042778066,-0.03999999999999976,-0.15999999999999986,0.0,7.0,4.0,1.227e-09,1.449137674618969e-12
10.0,-0.019953756719919544,-0.16017119065599045,0.138026210542313,-0.01999999999999974,-0.15999999999999986,0.0,8.0,4.0,1.23e-09,0.0
10.0,4.918550448138048e-06,-0.16009858568004148,0.13817864915408073,2.7755575615628914e-16,-0.15999999999999986,0.0,9.0,4.0,1.269e-09,9.486832980505104e-13
10.0,0.01995787457138147,-0.16014878135588967,0.1383368812736548,0.020000000000000295,-0.15999999999999986,0.0,10.0,4.0,1.2120000000000002e-09,1.2649110640673472e-12
10.0,0.039998544988154514,-0.16016769819073134,0.13849715389511458,0.04000000000000031,-0.15999999999999986,0.0,11.0,4.0,1.1620000000000001e-09,1.2649110640673733e-12
10.0,0.05996088689935121,-0.16005379634437517,0.13865460741822982,0.06000000000000033,-0.15999999999999986,0.0,12.0,4.0,1.18e-09,0.0
10.0,0.08007312073383614,-0.16020862488943893,0.13874640967723095,0.08000000000000035,-0.15999999999999986,0.0,13.0,4.0,1.16e-09,0.0
10.0,0.09996063736732806,-0.16011407696287144,0.13889796154952594,0.10000000000000037,-0.15999999999999986,0.0,14.0,4.0,1.1199999999999999e-09,6.539436930002088e-26
10.0,0.1200139545628373,-0.16013140153366262,0.1390263955970813,0.12000000000000038,-0.15999999999999986,0.0,15.0,4.0,1.1e-09,0.0
10.0,0.1399301880034623,-0.15998571418647006,0.13919995492130077,0.1400000000000004,-0.15999999999999986,0.0,16.0,4.0,1.09e-09,0.0
10.0,0.16007617222492193,-0.16033694896417172,0.13928649223789308,0.16000000000000042,-0.15999999999999986,0.0,17.0,4.0,1.04e-09,0.0
10.0,0.1800135804432188,-0.16005626006749968,0.139434272239307,0.18000000000000044,-0.15999999999999986,0.0,18.0,4.0,1.0040000000000003e-09,1.5491933384829613e-12
10.0,0.20003628904386528,-0.16021264778261557,0.1395032939420966,0.20000000000000046,-0.15999999999999986,0.0,19.0,4.0,9.5e-10,0.0
10.0,0.21997282616531783,-0.160169441444019,0.1396472850635575,0.22000000000000047,-0.15999999999999986,0.0,20.0,4.0,9.219999999999999e-10,1.2649110640673472e-12
10.0,0.24009718148763615,-0.16017286162068,0.13977591947556156,0.2400000000000005,-0.15999999999999986,0.0,21.0,4.0,8.43e-10,2.4698178070456926e-12
10.0,-0.2599114246176601,-0.13640041522607882,0.1360048417187975,-0.25999999999999995,-0.13999999999999985,0.0,22.0,4.0,1.0010000000000002e-09,9.486832980505106e-13
10.0,-0.2400240561350941,-0.14025187018579088,0.1361262523520948,-0.23999999999999994,-0.13999999999999985,0.0,23.0,4.0,1.016e-09,1.5491933384829613e-12
10.0,-0.22001846310046944,-0.14015338539954103,0.1362547115453535,-0.21999999999999992,-0.13999999999999985,0.0,24.0,4.0,1.044e-09,1.5491933384829934e-12
10.0,-0.20002482158527873,-0.14010246387831443,0.13635966213426653,-0.1999999999999999,-0.13999999999999985,0.0,25.0,4.0,1.0700000000000002e-09,6.539436930002088e-26
10.0,-0.17988117929530004,-0.14014577935966638,0.1365002351526114,-0.17999999999999988,-0.13999999999999985,0.0,26.0,4.0,1.1e-09,0.0
10.0,-0.1600826633446491,-0.140204607266938,0.1366188460993633,-0.15999999999999986,-0.13999999999999985,0.0,27.0,4.0,1.147e-09,1.4491376746189388e-12
10.0,-0.1399856267702156,-0.14008582070563724,0.1367698584684524,-0.13999999999999985,-0.13999999999999985,0.0,28.0,4.0,1.208e-09,1.2649110640673472e-12
10.0,-0.11993857161918459,-0.14018141782945537,0.13686832693332512,-0.11999999999999983,-0.13999999999999985,0.0,29.0,4.0,1.2000000000000002e-09,6.539436930002088e-26
10.0,-0.10001470370964208,-0.14012937702091177,0.13697941355619858,-0.09999999999999981,-0.13999999999999985,0.0,30.0,4.0,1.22e-09,0.0
10.0,-0.0799823897134237,-0.14011076640119818,0.1371467763710375,-0.0799999999999998,-0.13999999999999985,0.0,0.0,5.0,1.25e-09,0.0
10.0,-0.060020733738406225,-0.1401819933609194,0.13729344368310414,-0.059999999999999776,-0.13999999999999985,0.0,1.0,5.0,1.2599999999999998e-09,6.539436930002088e-26
10.0,-0.03998462536164776,-0.14015208584905803,0.1374679243855343,-0.03999999999999976,-0.13999999999999985,0.0,2.0,5.0,1.296e-09,1.5491933384829613e-12
10.0,-0.019993615178085886,-0.14017708419225622,0.13759339152647387,-0.01999999999999974,-0.13999999999999985,0.0,3.0,5.0,1.2700000000000002e-09,6.539436930002088e-26
10.0,-1.3431674884017974e-05,-0.14016617622521904,0.13775496624326183,2.7755575615628914e-16,-0.13999999999999985,0.0,4.0,5.0,1.2700000000000002e-09,6.539436930002088e-26
10.0,0.0200213248818132,-0.1401670276505409,0.1379445508694067,0.020000000000000295,-0.13999999999999985,0.0,5.0,5.0,1.2800000000000001e-09,6.539436930002088e-26
10.0,0.03996328240710954,-0.14018804764121862,0.13813476682081183,0.04000000000000031,-0.13999999999999985,0.0,6.0,5.0,1.24e-09,0.0
10.0,0.06000246023131754,-0.1401635781087715,0.13825681477689578,0.06000000000000033,-0.13999999999999985,0.0,7.0,5.0,1.2359999999999999e-09,1.5491933384829613e-12
10.0,0.08007252065185559,-0.14014738488207584,0.1384279092706298,0.08000000000000035,-0.13999999999999985,0.0,8.0,5.0,1.23e-09,0.0
10.0,0.09992079025881843,-0.14018366422819473,0.13861446350848527,0.10000000000000037,-0.13999999999999985,0.0,9.0,5.0,1.1440000000000002e-09,2.097617696340296e-12
10.0,0.12000516647835234,-0.14017601528571305,0.1387363085499061,0.12000000000000038,-0.13999999999999985,0.0,10.0,5.0,1.1300000000000002e-09,6.539436930002088e-26
